Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
290,1.48164e-51,0.117039,5000,1,11.6611,1,0,0.0517578,0.0517578
291,1.48164e-51,0.117039,5000,1,11.6895,1,0,0.0449219,0.0449219
292,1.48164e-51,0.117039,5000,1,11.6953,1,0,0.0488281,0.0488281
293,1.48019e-51,0.117073,5000,1,11.7285,0.999023,0.000976562,0.0371094,0.0371094
294,1.48019e-51,0.117054,5000,1,11.7285,1,0,0.0449219,0.0449219
295,1.48164e-51,0.117039,5000,1,11.7217,1,0,0.0488281,0.0488281
296,1.48164e-51,0.117039,5000,1,11.7109,1,0,0.0498047,0.0498047
297,1.48164e-51,0.117039,5000,1,11.7109,1,0,0.0458984,0.0458984
298,1.48164e-51,0.117039,5000,1,11.7148,1,0,0.0517578,0.0517578
299,1.48019e-51,0.117073,5000,0.999023,11.7422,0.999023,0,0.0419922,0.0419922
300,1.48164e-51,0.117039,5000,1,11.7588,1,0,0.0322266,0.0322266
301,1.48164e-51,0.117039,5000,1,11.7871,1,0,0.0410156,0.0410156
302,1.48164e-51,0.117039,5000,1,11.7744,1,0,0.0429688,0.0429688
303,1.48164e-51,0.117039,5000,1,11.7852,1,0,0.0556641,0.0556641
304,1.48164e-51,0.117039,5000,1,11.8076,1,0,0.046875,0.046875
305,1.48164e-51,0.117039,5000,1,11.833,1,0,0.0458984,0.0458984
306,1.48164e-51,0.117039,5000,1,11.8418,1,0,0.0556641,0.0556641
307,1.48164e-51,0.117039,5000,1,11.8125,1,0,0.0546875,0.0546875
308,1.48164e-51,0.117039,5000,1,11.8057,1,0,0.0566406,0.0566406
309,1.48019e-51,0.117054,5000,1,11.8467,1,0,0.046875,0.046875
310,1.48164e-51,0.117039,5000,1,11.8477,1,0,0.0458984,0.0458984
311,1.48164e-51,0.117039,5000,1,11.8691,1,0,0.0507812,0.0507812
312,1.48164e-51,0.117039,5000,1,11.8848,1,0,0.0537109,0.0537109
313,1.48019e-51,0.117073,5000,1,11.9043,0.999023,0.000976562,0.0566406,0.0566406
314,1.48164e-51,0.117039,5000,1,11.8838,1,0,0.046875,0.046875
315,1.48164e-51,0.117039,5000,1,11.8545,1,0,0.0507812,0.0507812
316,1.48019e-51,0.117073,5000,1,11.8838,0.999023,0.000976562,0.0507812,0.0507812
317,1.48019e-51,0.117054,5000,1,11.8779,1,0,0.0488281,0.0488281
318,1.48164e-51,0.117039,5000,1,11.8945,1,0,0.0439453,0.0439453
319,1.48164e-51,0.117039,5000,1,11.8955,1,0,0.0429688,0.0429688
320,1.48019e-51,0.117068,5000,1,11.8877,1,0,0.0498047,0.0498047
321,1.48164e-51,0.117039,5000,1,11.9209,1,0,0.0556641,0.0556641
